Event Date,Shift Start,Shift End,Client Name,Venue Name,Position ID,Position Title,Additional Title,Shift Position Description
2026-03-01,2026-03-01 14:00:00,2026-03-01 22:00:00,Commerce Casino,Commerce Casino - High Limit Kitchen | FOH | MON - TH,112,Runner,with Cashier Duties,"Role will consist of preparing food items, limited cart duties, checking coffee stations, cleaning food prep area on the expo line where food is prepared for bagging/serving, restocking items."
2026-03-01,2026-03-01 14:00:00,2026-03-01 22:30:00,Commerce Casino,Commerce Casino - Employee Dining Room,102,Cook 2,,
2026-03-01,2026-03-01 14:00:00,2026-03-01 22:00:00,Hotel Bel Air,Hotel Bel Air - Swan Cafe,102,Cook 2,,
2026-03-01,2026-03-01 14:00:00,2026-03-01 21:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,102,Cook 2,Tortilla #1,
2026-03-01,2026-03-01 14:00:00,2026-03-01 21:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,102,Cook 2,Plancha #1,
2026-03-01,2026-03-01 14:00:00,2026-03-01 21:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,102,Cook 2,Garnish #1,
2026-03-01,2026-03-01 14:00:00,2026-03-01 21:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,102,Cook 2,Burrito 1,
2026-03-01,2026-03-01 14:00:00,2026-03-01 22:30:00,Martin Luther King Jr Hospital,Martin Luther King Jr. Hospital | BOH,102,Cook 2,,
2026-03-01,2026-03-01 14:00:00,2026-03-01 22:30:00,Martin Luther King Jr Hospital,Martin Luther King Jr. Hospital | BOH,102,Cook 2,,
2026-03-01,2026-03-01 14:00:00,2026-03-01 22:30:00,Riviera Country Club,Riviera Country Club - Kitchen,105,Dishwasher,,Fast Paced Kitchen.
2026-03-01,2026-03-01 14:00:00,2026-03-01 22:30:00,SBLP Warner Center OPCO LLC - The Variel,The Variel of Woodland Hills,105,Dishwasher,,
2026-03-01,2026-03-01 14:30:00,2026-03-01 22:30:00,Viceroy Santa Monica Hotel,Viceroy Santa Monica Hotel,264,Event Supervisor,,
2026-03-01,2026-03-01 15:00:00,2026-03-01 22:00:00,Comedy and Magic Club,Comedy and Magic Club,105,Dishwasher,,
2026-03-01,2026-03-01 15:00:00,2026-03-01 22:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,101,Cashier,Cashier # 1,"CashierWill include FOH duties such as restocking, portioning, refilling station supplies. RBS needed."
2026-03-01,2026-03-01 15:00:00,2026-03-01 22:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,101,Cashier,Cashier #2,"Cashier-Will include FOH duties such as restocking, portioning, refilling station supplies. RBS needed."
2026-03-01,2026-03-01 15:00:00,2026-03-01 22:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,101,Cashier,Cashier # 1,"Will include FOH duties such as restocking, portioning, refilling station supplies. RBS needed."
2026-03-01,2026-03-01 15:00:00,2026-03-01 22:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,101,Cashier,Cashier #2,
2026-03-01,2026-03-01 15:00:00,2026-03-01 22:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,98,Bartender 2,Bar PM,
2026-03-01,2026-03-01 15:00:00,2026-03-01 22:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,102,Cook 2,Nacho PM,
2026-03-01,2026-03-01 15:00:00,2026-03-01 21:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,102,Cook 2,Burrito 2,Cook 2
2026-03-01,2026-03-01 15:30:00,2026-03-02 00:00:00,"Bruce's Gourmet Catering, Inc.","Bruce's Gourmet Catering, Inc",115,Server 2,,Server 2
2026-03-01,2026-03-01 15:30:00,2026-03-01 22:30:00,Malibu Beach Inn,Malibu Beach Inn - BOH,105,Dishwasher,,Dishwasher
2026-03-01,2026-03-01 15:30:00,2026-03-01 21:30:00,Riviera Country Club,Riviera Country Club - Kitchen,105,Dishwasher,,Fast Paced Kitchen.
2026-03-01,2026-03-01 15:30:00,2026-03-02 00:00:00,VH Property Corp. dba Trump National Golf Club Los Angeles,Trump National Golf Course Los Angeles | BOH,102,Cook 2,,"1-2 yrs line cook exp.

Grooming Standards

1. No tattoos on the face or neck, or any place that cannot be covered. 

2. Clean white or black chef coat, black pants, no denim

3. Clean white or black skull cap or ball cap, plain;  no designs, logos, etc. 

4. Short cropped beard, goatee or mustache is acceptable.

5. Black non slip shoes

Staff not adhering to these standards will be sent home."
2026-03-01,2026-03-01 16:00:00,2026-03-01 23:30:00,"Bruce's Gourmet Catering, Inc.","Bruce's Gourmet Catering, Inc",110,Prep Cook 2,,Prep Cook 2
2026-03-01,2026-03-01 16:00:00,2026-03-01 23:00:00,Canyon Palm Springs Hotel dba Thompson Palm Springs,Thompson Palm Springs |  FOH,99,Busser,,
2026-03-01,2026-03-01 16:00:00,2026-03-01 22:00:00,Griffin Club Los Angeles,Griffin Club Los Angeles,105,Dishwasher,,Dishwasher
2026-03-01,2026-03-01 17:00:00,2026-03-02 02:00:00,Country Market Catering Inc dba Contemporary Catering,@ Contemporary Catering,102,Cook 2,ALL BLACK UNIFORM - CHEF PANTS MUST BE BLACK,2+ years exp catering/banquets
2026-03-01,2026-03-01 17:00:00,2026-03-02 02:00:00,Country Market Catering Inc dba Contemporary Catering,@ Contemporary Catering,102,Cook 2,,2+ years exp catering/banquets
2026-03-01,2026-03-01 17:00:00,2026-03-02 01:30:00,Pepperdine University,Pepperdine University - HAWC Cafe & Store,102,Cook 2,,
